time_min,desks_used,desks_queue,tables_used,tables_queue,couches_used,couches_queue,cumulative_balks,total_arrivals
658,37,0,21,0,7,1,418,1247
659,37,0,20,0,7,2,418,1248
660,37,0,19,0,7,1,418,1248
661,37,0,17,0,7,1,418,1248
662,35,0,17,0,7,1,418,1248
663,35,0,18,0,7,2,418,1250
664,35,0,16,0,7,2,418,1250
665,35,0,16,0,7,4,418,1252
666,35,0,16,0,7,4,418,1252
667,35,0,17,0,7,2,418,1252
668,36,0,16,0,7,1,418,1253
669,36,0,16,0,7,1,418,1254
670,37,0,15,0,7,1,418,1255
671,37,0,14,0,7,2,418,1256
672,37,0,14,0,7,3,418,1257
673,37,0,13,0,7,3,418,1258
674,36,0,12,0,7,4,418,1259
675,38,0,13,0,7,3,418,1261
676,38,0,14,0,7,2,418,1262
677,37,0,14,0,7,1,418,1262
678,37,0,14,0,7,0,418,1262
679,37,0,14,0,7,0,418,1262
680,37,0,12,0,7,2,418,1264
681,37,0,11,0,7,2,418,1265
682,36,0,11,0,7,2,418,1265
683,36,0,9,0,7,2,418,1265
684,36,0,9,0,7,1,418,1265
685,36,0,9,0,7,0,418,1265
686,36,0,9,0,7,0,418,1265
687,37,0,9,0,7,0,418,1266
688,37,0,9,0,7,3,418,1269
689,37,0,8,0,7,2,418,1271
690,37,0,8,0,7,2,418,1271
691,34,0,8,0,7,3,418,1272
692,34,0,9,0,7,1,418,1273
693,34,0,9,0,7,1,418,1273
694,33,0,9,0,7,1,418,1273
695,33,0,9,0,7,1,418,1273
696,33,0,10,0,7,0,418,1273
697,33,0,10,0,6,0,418,1273
698,32,0,10,0,5,0,418,1274
699,32,0,10,0,5,0,418,1275
700,32,0,9,0,6,0,418,1276
701,32,0,9,0,6,0,418,1276
702,33,0,9,0,7,0,418,1278
703,33,0,9,0,7,0,418,1279
704,34,0,9,0,7,0,418,1280
705,32,0,8,0,7,0,418,1280
706,32,0,8,0,7,1,418,1281
707,32,0,8,0,7,1,418,1281
708,31,0,7,0,7,3,418,1283
709,31,0,6,0,7,3,418,1284
710,32,0,6,0,7,5,418,1287
711,32,0,5,0,7,4,418,1287
712,32,0,5,0,7,3,418,1287
713,32,0,5,0,7,2,418,1287
714,32,0,7,0,7,0,418,1287
715,31,0,7,0,7,1,418,1288
716,31,0,7,0,7,1,418,1288
717,31,0,7,0,7,1,418,1289
718,32,0,7,0,7,1,418,1290
719,31,0,7,0,7,2,418,1291
